Response.ID,RL1_Country,RL1_FP.region,RL1_FR.region,RL1_State.abbr,RL1_State,RL2_FIPS,RL2_County,FC1_Owned.ac,FC1_Leased.ac,FC3_Owned.crops.ac,FC3_Owned.natural.ac,FC3_Owned.fallow.ac,FC3_Owned.pasture.ac,FC3_Owned.built.ac,FC4_Leased.crops.ac,FC4_Leased.natural.ac,FC4_Leased.fallow.ac,FC4_Leased.pasture.ac,FC4_Leased.built.ac,FC6_Conv.ac,FC6_Cert.org.ac,FC6_Trans.org.ac,FC6_Noncert.org.ac,FC6_Mngt.3t,FC7_Cropped.percent,FC7_Grazed.percent,FC1_Total.ac,FC8_Csys_3type,CM1_Cur.pre.nev,IC1_Cur.pre.nev,IP1_Cur.pre.nev,RT1_Cur.pre.nev,CR1_Cur.pre.nev_REV,CC1_Cur.pre.nev,BP1_Cur.pre.nev,RB1_Cur.pre.nev,CM1_binary,IC1_binary,IP1_binary,RT1_binary,CR1_binary,CC1_binary,BP1_binary,RB1_binary
R_11dBcLas6ODuWqK,USA,Corn.Belt,Northern.Crescent,OH,Ohio,39055,Geauga,40,40,54,20,0,0,6,54,20,0,0,6,0,54,0,0,Organic,100,0,80,Mixed,1,1,1,3,1,1,3,1,1,1,1,0,1,1,0,1
R_11dYn3kkQU3KkGV,USA,Northeast,Northern.Crescent,NY,New.York,36107,Tioga,100,0,2,77,0,20,1,NA,NA,NA,NA,NA,0,100,0,0,Organic,20,80,100,Specialty,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R_11XhGIogodWYOFH,USA,Northern.Plains,Prairie.Gateway,KS,Kansas,20103,Leavenworth,20,0,1,3,9,5,2,NA,NA,NA,NA,NA,0,0,0,20,Organic,10,90,20,Specialty,1,3,1,1,1,1,3,1,1,0,1,1,1,1,0,1
R_11Zp4iuXHNqYRnm,USA,Northeast,Northern.Crescent,NY,New.York,36053,Madison,560,214,434,174,50,176,4.5,214,0,0,24,0,0,688,0,0,Organic,85,15,774,Mixed,NA,NA,3,3,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
R_1206WIIKuVuKuvL,USA,Lake.States,Northern.Crescent,MI,Michigan,26103,Marquette,120,40,10,80,0,30,0,0,0,0,40,0,0,0,0,120,Organic,10,90,160,Mixed,1,1,1,3,1,1,1,1,1,1,1,0,1,1,1,1
R_128WG4YXhzVVOhs,USA,Pacific,Fruitful.Rim,CA,California,6073,San.Diego,8,0,1,3,0,3,1,NA,NA,NA,NA,NA,0,8,0,0,Organic,100,0,8,Specialty,1,1,3,1,1,1,3,4,1,1,0,1,1,1,0,0
R_12D5WUVwuNexiZT,USA,Southeast,Southern.Seaboard,SC,South.Carolina,45017,Calhoun,0,30,NA,NA,NA,NA,NA,30,0,0,0,0,30,0.5,0,0,Split,100,0,30,Specialty,NA,1,NA,NA,NA,1,NA,3,NA,1,NA,NA,NA,1,NA,0
R_12DPj7ZMwigeaMr,USA,Northeast,Northern.Crescent,NY,New.York,36057,Montgomery,0,10,NA,NA,NA,NA,NA,1,1,NA,7,1,0,10,0,0,Organic,40,60,10,Specialty,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R_12hbNN1WrRHRThF,USA,Lake.States,Northern.Crescent,MI,Michigan,26161,Washtenaw,22,22,17,5,NA,18,4,22,NA,NA,NA,NA,0,0,0,44,Organic,60,40,44,Mixed,1,2,1,3,1,1,1,1,1,0,1,0,1,1,1,1
R_12Puel69giu3l74,USA,NA,NA,HI,Hawaii,15001,Hawaii,1,0,0.5,0,0,0.25,0.25,NA,NA,NA,NA,NA,0,0,0,0.5,Organic,100,0,1,Specialty,NA,NA,1,1,NA,1,3,4,NA,NA,1,1,NA,1,0,0
R_12r0RJ1YriH0UyF,USA,Southeast,Eastern.Uplands,AL,Alabama,1103,Morgan,15,0,2,5,8,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,Organic,100,NA,15,Specialty,1,1,1,3,1,1,3,1,1,1,1,0,1,1,0,1
R_12R7k1ZJW2oF80z,USA,Lake.States,Northern.Crescent,WI,Wisconsin,55043,Grant,1.5,0,1.5,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,1.5,Organic,100,0,1.5,Specialty,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,0
R_12yGl4xQ6NuxAef,USA,Lake.States,Northern.Crescent,MI,Michigan,26075,Jackson,54,0,17,9,23,0,5,NA,NA,NA,NA,NA,0,33,0,0,Organic,100,0,54,Specialty,1,1,1,3,1,1,1,1,1,1,1,0,1,1,1,1
R_1BXbEXCDnXk0mBQ,USA,Corn.Belt,Heartland,OH,Ohio,39049,Franklin,7,0,2,0,2,3,0,NA,NA,NA,NA,NA,0,0,7,0,Organic,50,50,7,Mixed,1,1,1,3,1,1,1,4,1,1,1,0,1,1,1,0
R_1BY6s8LxgyAcmIQ,USA,Appalachian,Eastern.Uplands,TN,Tennessee,47011,Bradley,25,10,3,8,5,8,1,0,0,0,10,0,0,3,0,0,Organic,30,70,35,Mixed,1,1,1,3,1,1,1,1,1,1,1,0,1,1,1,1
R_1C27u7OnNDhIo1y,USA,Corn.Belt,Eastern.Uplands,OH,Ohio,39067,Harrison,61,0,12,0,0,0,0,NA,NA,NA,NA,NA,0,61,0,0,Organic,60,40,61,Mixed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R_1C71ozKH0SV5Vdy,USA,Northeast,Northern.Crescent,NY,New.York,36101,Steuben,1565,795,1565,0,0,0,0,795,0,0,0,0,2360,0,0,0,Conventional,100,0,2360,Mixed,3,3,3,1,1,1,1,1,0,0,0,1,1,1,1,1
R_1Cq0jJ2HKcLMUMh,USA,Corn.Belt,Heartland,OH,Ohio,39025,Clermont,51,0,8,40,0,0,3,NA,NA,NA,NA,NA,0,8,0,0,Organic,100,0,51,Specialty,1,1,1,1,1,1,3,1,1,1,1,1,1,1,0,1
R_1CqIma4LBrWXxzl,USA,Pacific,NA,OR,Oregon,NA,NA,10,10,2,1,0,6,1,5,5,0,0,0,0,20,0,0,Organic,100,0,20,Specialty,1,1,1,3,1,1,1,3,1,1,1,0,1,1,1,0
R_1CvgwKOBskT1evF,USA,Pacific,Fruitful.Rim,OR,Oregon,41039,Lane,0,6,NA,NA,NA,NA,NA,3,1,2,0,0,0,6,0,0,Organic,100,0,6,Specialty,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,0,1
R_1Cx9y9B0XnEgPPZ,USA,Northeast,Northern.Crescent,NH,New.Hampshire,33009,Grafton,165,0,0,112,0,40,3,NA,NA,NA,NA,NA,49,113,0,0,Split,0,100,165,Specialty,3,3,3,3,4,1,1,3,0,0,0,0,0,1,1,0
R_1cZfrqfw2pBo8WL,USA,Northeast,Northern.Crescent,NY,New.York,36101,Steuben,600,74,180,310,0,110,3,74,0,0,0,0,0,254,0,346,Organic,NA,100,674,Mixed,3,1,3,1,1,1,1,1,0,1,0,1,1,1,1,1
R_1dAHONFZsnJ1flT,USA,Northeast,Northern.Crescent,NY,New.York,36069,Ontario,56,30,25,5,0,20,6,30,0,0,0,0,15,30,0,0,Split,50,50,86,Mixed,1,1,1,3,1,3,1,1,1,1,1,0,1,0,1,1
R_1dBsVl3gvJztd0v,USA,Appalachian,Eastern.Uplands,NC,North.Carolina,37021,Buncombe,0,1,NA,NA,NA,NA,NA,0.5,0,0.5,0,0,0,0,0,1,Organic,100,0,1,Mixed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R_1ddmnvhXShN9IPu,USA,Southeast,Fruitful.Rim,FL,Florida,12065,Jefferson,22,0,2,12,4,NA,4,NA,NA,NA,NA,NA,0,0,0,4,Organic,100,0,22,Specialty,1,3,1,3,4,3,3,1,1,0,1,0,0,0,0,1
R_1dKwJzTLrbqbKAi,USA,Northeast,Northern.Crescent,NY,New.York,36069,Ontario,1400,2500,1000,345,20,30,5,2500,0,0,0,0,3500,0,0,0,Conventional,99,1,3900,Mixed,3,3,3,1,1,1,3,1,0,0,0,1,1,1,0,1
R_1dmmqRTJsWngl2y,USA,Northeast,Northern.Crescent,NY,New.York,36017,Chenango,6.9,0,1,5.8,0,0,0.1,NA,NA,NA,NA,NA,0,0,0,0.7,Organic,100,0,6.9,Specialty,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
R_1DN1D3fUjtSDLCs,USA,Corn.Belt,Heartland,IL,Illinois,17121,Marion,82,0,70,9,0,2,1,NA,NA,NA,NA,NA,0,72,0,0,Organic,95,5,82,Mixed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R_1dNf8cwWOIUBg0a,USA,Northeast,Northern.Crescent,NY,New.York,36037,Genesee,4500,4000,4500,0,0,0,0,4000,0,0,0,0,8500,0,0,0,Conventional,60,40,8500,Mixed,1,1,3,1,1,1,1,1,1,1,0,1,1,1,1,1
R_1Dr5X0BsgL7nWoT,USA,Mountain,Basin.and.Range,ID,Idaho,16017,Bonner,80,0,0.75,77.25,0,0,2,NA,NA,NA,NA,NA,0,0.75,0,0,Organic,100,0,80,Specialty,1,1,1,1,2,3,3,4,1,1,1,1,0,0,0,0
R_1DUaCpRmFqaR3pV,USA,Mountain,Basin.and.Range,CO,Colorado,8029,Delta,60,0,50,5,0,0,5,NA,NA,NA,NA,NA,18,32,0,0,Split,60,40,60,Mixed,1,3,1,1,4,1,1,1,1,0,1,1,0,1,1,1
R_1DwcV849wimlLp9,USA,Appalachian,Eastern.Uplands,NC,North.Carolina,37199,Yancey,16,4,5,5,0,5,1,4,0,0,0,0,0,0,0,16,Organic,75,25,20,Specialty,1,1,1,1,1,1,3,1,1,1,1,1,1,1,0,1
R_1dzYxNRKtC8hbQ7,USA,Northeast,NA,VT,Vermont,NA,NA,7000,3000,6500,450,0,0,50,3000,0,0,0,0,8000,2000,0,0,Split,20,80,10000,Mixed,3,3,3,1,3,1,3,1,0,0,0,1,0,1,0,1
R_1EdoIVAyeajLbHV,USA,Pacific,Fruitful.Rim,CA,California,6033,Lake,12,0,10,0,0,0,2,NA,NA,NA,NA,NA,0,12,0,0,Organic,100,0,12,Specialty,1,3,3,1,4,3,3,4,1,0,0,1,0,0,0,0
R_1eqmWnLUGGHCFBH,USA,Northern.Plains,Prairie.Gateway,NE,Nebraska,31047,Dawson,140,160,141,15,0,0,0,160,0,0,0,0,0,300,0,0,Organic,100,0,300,Mixed,1,3,3,1,1,1,1,1,1,0,0,1,1,1,1,1
R_1esLLowNrVhC8Ub,USA,Northeast,Northern.Crescent,NY,New.York,36027,Dutchess,0,15,NA,NA,NA,NA,NA,2,0,2,11,0,0,15,0,0,Organic,30,70,15,Specialty,1,1,1,3,1,1,3,1,1,1,1,0,1,1,0,1
R_1eV4YcB1HTSDNYk,USA,Southeast,Fruitful.Rim,FL,Florida,12053,Hernando,13,0,7,1,2,2,1,NA,NA,NA,NA,NA,0,0,0,11,Organic,75,25,13,Mixed,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,0
R_1eVMMEz8Ls0FKLN,USA,Pacific,NA,CA,California,NA,NA,2,0,2,0,0,0,0,NA,NA,NA,NA,NA,0,2,0,0,Organic,100,0,2,Specialty,1,2,3,3,4,2,1,4,1,0,0,0,0,0,1,0
R_1f0XMP5EStcgNdw,USA,Pacific,Fruitful.Rim,CA,California,6019,Fresno,400,0,400,0,0,0,0,NA,NA,NA,NA,NA,200,200,0,0,Split,100,0,400,Specialty,1,3,1,1,4,2,3,4,1,0,1,1,0,0,0,0
R_1F4xinvAVhcW7Qs,USA,Northeast,Northern.Crescent,NY,New.York,36029,Erie,4400,5000,2500,1800,0,0,100,5000,0,0,0,0,2000,3500,2000,0,Split,100,0,9400,Mixed,1,1,3,1,1,1,3,1,1,1,0,1,1,1,0,1
R_1feHBky9P85jhry,USA,Appalachian,Eastern.Uplands,NC,North.Carolina,37149,Polk,5,0,0,0,0,4,10,NA,NA,NA,NA,NA,0,0,0,5,Organic,0,100,5,Mixed,1,1,1,1,4,1,1,1,1,1,1,1,0,1,1,1
R_1FfEaj319z1oY8u,USA,Northeast,NA,NY,New.York,NA,NA,75,0,0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,Organic,100,NA,75,Specialty,1,1,3,1,1,1,1,4,1,1,0,1,1,1,1,0
R_1fjh0zAtRWxmGKU,USA,Lake.States,Northern.Crescent,MI,Michigan,26139,Ottawa,100,40,48,0,0,92,0,0,0,0,0,0,0,140,0,0,Organic,30,70,140,Mixed,1,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1
R_1FqUHQiCUFrfYgp,USA,Northeast,Northern.Crescent,NY,New.York,36055,Monroe,0,12,NA,NA,NA,NA,NA,6,0,6,0,0,0,2,0,10,Organic,100,0,12,Specialty,1,NA,1,NA,NA,1,3,NA,1,NA,1,NA,NA,1,0,NA
R_1FskTXphCT7pIrw,USA,Northeast,Northern.Crescent,NY,New.York,36037,Genesee,4000,2000,4000,0,0,0,0,2000,0,0,0,0,6000,0,0,0,Conventional,100,0,6000,Mixed,3,1,3,1,1,1,1,1,0,1,0,1,1,1,1,1
R_1FxKR698Fa4ObzT,USA,Pacific,Fruitful.Rim,CA,California,6019,Fresno,70,60,67,0,0,0,2,54,4,0,0,2,0,130,0,0,Organic,100,0,130,Specialty,2,2,1,1,4,1,3,4,0,0,1,1,0,1,0,0
R_1g53VLCVVvFvAv8,USA,Lake.States,Northern.Crescent,MI,Michigan,26061,Houghton,30,0,5.5,12,7,5,0.5,NA,NA,NA,NA,NA,0,0,0,18,Organic,99,1,30,Mixed,1,1,1,3,3,1,3,1,1,1,1,0,0,1,0,1
R_1g8gDW7WmSth069,USA,Mountain,Basin.and.Range,CO,Colorado,8109,Saguache,2400,0,2400,0,800,0,0,NA,NA,NA,NA,NA,1920,360,120,0,Split,100,0,2400,Mixed,1,3,3,3,1,1,1,4,1,0,0,0,1,1,1,0
R_1gBLalASS6b3tBm,USA,Northeast,Northern.Crescent,NJ,New.Jersey,34019,Hunterdon,41,0,15,0,20,0,6,NA,NA,NA,NA,NA,0,35,0,0,Organic,100,0,41,Specialty,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R_1GBVGiAi2HFyFGl,USA,Corn.Belt,Heartland,IN,Indiana,18097,Marion,6,0,1,4.5,0,0,0.5,NA,NA,NA,NA,NA,0,0,0,1,Organic,100,0,6,Specialty,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R_1gG9HtFD9sIxZLm,USA,Pacific,Fruitful.Rim,CA,California,6033,Lake,7,0,5,0,0,1.5,0,NA,NA,NA,NA,NA,0,7,0,0,Organic,75,25,7,Mixed,1,3,1,2,4,3,3,4,1,0,1,0,0,0,0,0
R_1gHAI6UZXT3SHgW,USA,Pacific,Fruitful.Rim,CA,California,6073,San.Diego,12,0,8,0,4,0,0,NA,NA,NA,NA,NA,0,12,0,0,Organic,100,0,12,Specialty,1,1,1,3,1,1,3,3,1,1,1,0,1,1,0,0
R_1gis4d36MwMuoHn,USA,Appalachian,Southern.Seaboard,VA,Virgina,51061,Fauquier,7.5,0,1,1,0,5,0.5,NA,NA,NA,NA,NA,5.5,0,0,1,Split,16,84,7.5,Specialty,1,1,1,1,1,3,1,4,1,1,1,1,1,0,1,0
R_1GKCKBniV8kJOun,USA,Lake.States,Northern.Crescent,MI,Michigan,26151,Sanilac,1200,100,1175,25,0,0,0,100,0,0,0,0,1200,100,0,0,Split,100,0,1300,Mixed,2,3,1,1,1,1,3,4,0,0,1,1,1,1,0,0
R_1gnYru6LcK1kZ4a,USA,Corn.Belt,Heartland,OH,Ohio,39027,Clinton,48,0,16,16,0,15,1,NA,NA,NA,NA,NA,0,31,0,0,Organic,95,5,48,Mixed,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1
R_1gORddk7EmH7xyy,USA,Pacific,Fruitful.Rim,CA,California,6065,Riverside,1,0,0.5,0,0,0,0,NA,NA,NA,NA,NA,0,0.5,0,0,Organic,100,0,1,Specialty,1,1,3,1,1,3,1,3,1,1,0,1,1,0,1,0
R_1GPRUHgtxrNayuS,USA,Corn.Belt,Heartland,MO,Missouri,29047,Clay,8000,500,7500,0,0,50,15,450,25,0,25,0,8500,0,0,0,Conventional,95,5,8500,Mixed,3,3,3,1,1,1,3,1,0,0,0,1,1,1,0,1
R_1GQCwWwSsJtzWCn,USA,Lake.States,Northern.Crescent,MN,Minnesota,27025,Chisago,80,0,0.1,30,44.9,0,5,NA,NA,NA,NA,NA,0,0,45,0,Organic,100,0,80,Specialty,3,3,3,3,3,3,1,1,0,0,0,0,0,0,1,1
R_1GTQOxfuFkcQ1fw,USA,Southern.Plains,Prairie.Gateway,OK,Oklahoma,40027,Cleveland,5.5,0,1,0,4,0,0.5,NA,NA,NA,NA,NA,0,5,0,0,Organic,90,10,5.5,Specialty,1,1,3,1,1,1,3,3,1,1,0,1,1,1,0,0
R_1gUBHr4Zw6bzJk4,USA,Pacific,Fruitful.Rim,CA,California,6013,Contra.Costa,191,45,188,0,0,0,3,45,0,0,0,0,0,159,94,0,Organic,100,0,236,Specialty,1,3,1,1,4,1,1,1,1,0,1,1,0,1,1,1
R_1gvhKBMdcoNjgFd,USA,Mountain,Basin.and.Range,NM,New.Mexico,35039,Rio.Arriba,500,300,0.5,338,0.5,160,1,NA,300,NA,NA,NA,0,0,0,0.5,Organic,1,99,800,Specialty,1,1,1,1,1,1,3,3,1,1,1,1,1,1,0,0
R_1H1SmMz3MGY0wT6,USA,Lake.States,Northern.Crescent,MI,Michigan,26091,Lenawee,60,0,12,31,3,8,6,NA,NA,NA,NA,NA,0,0,0,13,Organic,70,30,60,Mixed,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1
R_1H2AnAhO1odOY05,USA,Mountain,Fruitful.Rim,ID,Idaho,16005,Bannock,80,280,150,1,0,205,4,70,1,0,105,4,0,0,0,360,Organic,30,70,360,Mixed,1,1,1,1,1,NA,1,4,1,1,1,1,1,NA,1,0
R_1HiOjMvCMtXObph,USA,Northeast,Northern.Crescent,ME,Maine,23027,Waldo,12,0,2,10,0,0,0,NA,NA,NA,NA,NA,0,2,0,0,Organic,100,0,12,Specialty,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R_1hQG5JHwSgOTem9,USA,Northeast,Northern.Crescent,NY,New.York,36023,Cortland,57,87,1,8,1,46,1,NA,NA,NA,87,NA,0,144,0,0,Organic,2,98,144,Mixed,1,1,3,1,1,1,1,4,1,1,0,1,1,1,1,0
R_1hWk1zjyL5VZIUe,USA,Appalachian,Eastern.Uplands,NC,North.Carolina,37021,Buncombe,0,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,Organic,100,0,1,Mixed,1,1,1,3,1,1,3,4,1,1,1,0,1,1,0,0
R_1IAUsvrX6ocNyVB,USA,Mountain,Basin.and.Range,ID,Idaho,16017,Bonner,11.25,0,2.5,6,0,1.75,1,NA,NA,NA,NA,NA,0,2.5,0,0,Organic,100,0,11.25,Specialty,1,1,1,1,1,1,3,4,1,1,1,1,1,1,0,0
R_1ifiRQGKotHTI05,USA,Pacific,Fruitful.Rim,CA,California,6079,San.Luis.Obispo,600,18,34,458,6,100,2,16,0,2,0,0,0,48,0,0,Organic,20,80,618,Mixed,1,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1
R_1IGik6kakr3sUId,USA,Appalachian,Eastern.Uplands,KY,Kentucky,21111,Jefferson,0.3,0,0.2,0.1,0,0,0,NA,NA,NA,NA,NA,0,0,0,0.3,Organic,100,0,0.3,Specialty,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,0
R_1IioEnmmSwlYHgK,USA,Pacific,Fruitful.Rim,OR,Oregon,41029,Jackson,5,0,5,0,0,0,0,NA,NA,NA,NA,NA,0,5,0,0,Organic,100,0,5,Specialty,NA,3,NA,1,NA,1,3,1,NA,0,NA,1,NA,1,0,1
R_1irCPuKjpVws2aZ,USA,Lake.States,Northern.Crescent,MI,Michigan,26125,Oakland,10,0,3,4.67,2,0,0.33,NA,NA,NA,NA,NA,0,0,0,3,Organic,100,0,10,Mixed,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,0
R_1Iv0DpY7Uo2tXnh,USA,Lake.States,Northern.Crescent,MI,Michigan,26005,Allegan,80,20,0,0,40,0,0,0,0,0,0,0,0,5,95,0,Organic,100,0,100,Specialty,2,3,3,1,4,1,1,3,0,0,0,1,0,1,1,0
R_1j88yJ2kfJGByKo,USA,Appalachian,Southern.Seaboard,VA,Virgina,51047,Culpeper,0,8,NA,NA,NA,NA,NA,1,0,0,7,0,0,1,0,0,Organic,12.5,87.5,8,Specialty,1,1,1,1,1,1,3,1,1,1,1,1,1,1,0,1
R_1jCHamSGQl5QguD,USA,Pacific,Fruitful.Rim,CA,California,6073,San.Diego,4.3,0,3,0.5,0,0,0.8,NA,NA,NA,NA,NA,0,3,0,0,Organic,100,0,4.3,Specialty,3,1,1,1,4,3,3,1,0,1,1,1,0,0,0,1
R_1jDJs7MP9JZh3rA,USA,Pacific,Fruitful.Rim,CA,California,6103,Tehama,275,0,225,47,0,0,3,NA,NA,NA,NA,NA,50,175,0,0,Split,100,0,275,Specialty,1,3,3,1,4,1,3,1,1,0,0,1,0,1,0,1
R_1jlfHZIRnYXoEuv,USA,Northeast,Northern.Crescent,NH,New.Hampshire,33003,Carroll,8.1,0,0.75,5.85,0.5,0,1,NA,NA,NA,NA,NA,0,8.1,0,0,Organic,100,0,8.1,Specialty,1,1,1,1,1,1,3,4,1,1,1,1,1,1,0,0
R_1jU5PppJ0H7khJW,USA,Mountain,Basin.and.Range,ID,Idaho,16055,Kootenai,5,0,0.25,0,0,0,0,NA,NA,NA,NA,NA,0,0.25,0,0,Organic,100,0,5,Specialty,3,3,1,3,1,3,3,4,0,0,1,0,1,0,0,0
R_1jVfHLVX0RExLvt,USA,Appalachian,Eastern.Uplands,TN,Tennessee,47093,Knox,30,0,17,4,3,4,2,NA,NA,NA,NA,NA,0,30,0,0,Organic,75,25,30,Mixed,1,1,1,2,1,1,3,1,1,1,1,0,1,1,0,1
R_1jZCvQvs1fmIJNM,USA,Pacific,Fruitful.Rim,OR,Oregon,41067,Washington,30,0,12,10,3,4,5,NA,NA,NA,NA,NA,0,0,0,30,Organic,90,10,30,Specialty,1,1,1,3,1,1,1,1,1,1,1,0,1,1,1,1
R_1k17yTwxewvVdOK,USA,Pacific,Fruitful.Rim,OR,Oregon,41003,Benton,150,0,109,30,5,5,1,NA,NA,NA,NA,NA,100,20,0,30,Split,90,10,150,Mixed,3,3,2,1,4,1,3,1,0,0,0,1,0,1,0,1
R_1k1XrZwQ1v9b6av,USA,Pacific,Fruitful.Rim,CA,California,6053,Monterey,0,8,NA,NA,NA,NA,NA,8,0,0,0,0,0,8,0,0,Organic,100,0,8,Specialty,2,1,1,2,1,1,1,1,0,1,1,0,1,1,1,1
R_1KeTHDFnRvj4eWb,USA,Mountain,Basin.and.Range,MT,Montana,30031,Gallatin,20,20,10,0,0,0,2,5,0,0,10,0,0,40,0,0,Organic,70,30,40,Mixed,1,1,1,1,1,1,3,1,1,1,1,1,1,1,0,1
R_1Kr6qHaJbnDyluc,USA,NA,NA,HI,Hawaii,15009,Maui,0,7,NA,NA,NA,NA,NA,7,0,0,0,0,0,7,0,0,Organic,100,0,7,Specialty,1,1,2,1,1,1,3,4,1,1,0,1,1,1,0,0
R_1kTiPhTLXzTNwJt,USA,Northeast,Northern.Crescent,NY,New.York,36011,Cayuga,8,0,5,2,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,Conventional,100,0,8,Specialty,1,1,1,1,1,1,3,3,1,1,1,1,1,1,0,0
R_1KvWoLOHeoNm7uN,USA,Pacific,Fruitful.Rim,CA,California,6033,Lake,12,0,10,0,0,0,2,NA,NA,NA,NA,NA,0,12,0,0,Organic,90,10,12,Specialty,1,3,3,2,4,3,3,4,1,0,0,0,0,0,0,0
